epoch,bank1_local_loss,bank1_test_acc
1,0.7963587641716003,0.4296056926250458
2,0.7868241667747498,0.4409288763999939
3,0.7773095965385437,0.44487297534942627
4,0.7681497931480408,0.4453185498714447
5,0.7591416239738464,0.4458324909210205
