epoch,bank1_local_loss,bank2_local_loss,bank3_local_loss,bank1_test_acc,bank2_test_acc,bank3_test_acc
1,0.7831723093986511,0.783101499080658,0.7832782864570618,0.16168326139450073,0.1612730622291565,0.16272057592868805
2,0.7755930423736572,0.7755226492881775,0.7756847739219666,0.11572817713022232,0.11529911309480667,0.12434254586696625
3,0.7682583332061768,0.7681878805160522,0.7683854103088379,0.10961513221263885,0.11027760058641434,0.10885601490736008
4,0.7611280083656311,0.7611560821533203,0.7613393664360046,0.12400542199611664,0.12491071224212646,0.12211941182613373
5,0.7543098330497742,0.7543384432792664,0.7545080780982971,0.1385253667831421,0.13929156959056854,0.135950967669487
